t,r,y,u
151.20000000,72.58064270,70.68750000,43.15847778
152.00000000,72.90322876,71.00000000,43.66487122
152.80000000,73.22580719,71.31250000,44.17759705
153.60000000,73.54838562,71.62500000,44.70226288
154.40000000,73.87096405,71.93750000,45.24126053
155.20000000,74.19355011,72.31250000,44.01225662
156.00000000,74.51612854,72.56250000,46.68507385
156.80000000,74.83870697,72.87500000,47.03181458
157.60000000,75.16129303,73.12500000,49.31491470
158.40000000,75.48387146,73.56250000,46.00316238
159.20000000,75.80644989,73.87500000,47.17733383
160.00000000,76.12903595,74.25000000,46.21879196
160.80000000,76.45161438,74.56250000,47.22225189
161.60000000,76.77419281,74.87500000,47.93523026
162.40000000,77.09677124,75.25000000,46.74938965
163.20000000,77.41935730,75.62500000,45.84251022
164.00000000,77.74193573,75.93750000,46.79072189
164.80000000,78.06451416,76.25000000,47.40261078
165.60000000,78.38710022,76.62500000,46.09608459
166.40000000,78.70967865,76.93750000,46.84344864
167.20000000,79.03225708,77.25000000,47.33978271
168.00000000,79.35483551,77.50000000,49.52113724
168.80000000,79.67742157,77.81250000,49.56691742
169.60000000,80.00000000,78.12500000,49.84717178
170.40000000,79.69999695,78.37500000,46.79219818
171.20000000,79.40000153,78.62500000,42.47829437
172.00000000,79.09999847,78.87500000,37.12182617
172.80000000,78.80000305,79.00000000,34.38269424
173.60000000,78.50000000,79.00000000,33.66232681
174.40000000,78.19999695,78.93750000,33.03496552
175.20000000,77.90000153,78.75000000,34.65647125
176.00000000,77.59999847,78.62500000,33.07394791
176.80000000,77.30000305,78.43750000,32.88217926
177.60000000,77.00000000,78.25000000,32.04287720
178.40000000,76.69999695,78.06250000,30.82315063
179.20000000,76.40000153,77.81250000,31.12102699
180.00000000,76.09999847,77.56250000,30.88284683
180.80000000,75.80000305,77.37500000,28.58572769
181.60000000,75.50000000,77.18750000,26.44385910
182.40000000,75.19999695,76.93750000,26.04923248
183.20000000,74.90000153,76.62500000,27.00064468
184.00000000,74.59999847,76.31250000,27.39960480
184.80000000,74.30000305,76.06250000,25.78974533
185.60000000,74.00000000,75.81250000,24.41370392
186.40000000,73.69999695,75.50000000,24.87570572
187.20000000,73.40000153,75.12500000,26.77984428
188.00000000,73.09999847,74.81250000,26.44634628
188.80000000,72.80000305,74.50000000,26.30590820
189.60000000,72.50000000,74.31250000,22.69264603
190.40000000,72.19999695,74.06250000,21.55285835
191.20000000,71.90000153,73.81250000,20.28710175
192.00000000,71.59999847,73.43750000,22.48845673
192.80000000,71.30000305,73.00000000,25.74661636
193.60000000,71.00000000,72.68750000,24.87561798
194.40000000,70.69999695,72.43750000,22.74399185
195.20000000,70.40000153,72.18750000,21.16716194
196.00000000,70.09999847,71.87500000,21.56594467
196.80000000,69.80000305,71.56250000,21.68231392
197.60000000,69.50000000,71.25000000,21.68896294
198.40000000,69.19999695,70.87500000,23.44350815
199.20000000,68.90000153,70.56250000,23.09166718
200.00000000,68.59999847,70.31250000,21.20550919
200.80000000,68.30000305,70.06250000,19.75679779
