t,u,y
336.80000000,37.65410995,74.12500000
337.60000000,37.65410995,74.12500000
338.40000000,37.65410995,74.12500000
339.20000000,37.65410995,74.12500000
340.00000000,37.65410995,74.12500000
340.80000000,37.65410995,74.06250000
341.60000000,37.65410995,74.12500000
342.40000000,37.65410995,74.06250000
343.20000000,37.65410995,74.06250000
344.00000000,37.65410995,74.06250000
344.80000000,37.65410995,74.00000000
345.60000000,37.65410995,74.00000000
346.40000000,37.65410995,74.00000000
347.20000000,37.65410995,74.00000000
348.00000000,37.65410995,73.93750000
348.80000000,37.65410995,73.87500000
349.60000000,37.65410995,73.87500000
350.40000000,37.65410995,73.81250000
351.20000000,37.65410995,73.81250000
352.00000000,37.65410995,73.81250000
352.80000000,37.65410995,73.75000000
353.60000000,37.65410995,73.75000000
354.40000000,37.65410995,73.75000000
355.20000000,37.65410995,73.75000000
356.00000000,37.65410995,73.75000000
356.80000000,37.65410995,73.62500000
357.60000000,37.65410995,73.62500000
358.40000000,37.65410995,73.62500000
359.20000000,37.65410995,73.68750000
